Bezirk,Jahr,Orte,Geburtsort,Latitude1,Longitude1,Medaille,Sportart,Disziplin
OBB,1994.0,Lillehammer (NOR),Bad Tölz,47761.0,11565.0,Bronze,Biathlon,"15km, Staffel"
OBB,1996.0,Atlanta (USA),Wolfratshausen,47910.0,11427.0,Bronze,Judo,Schwergewicht
OBB,1996.0,Atlanta (USA),München,48135.0,11581.0,Bronze,Judo,Superleichtgewicht
OBB ,1996.0,Atlanta (USA),München,48135.0,11581.0,Bronze,Schwimmen,"4x100m Freistil Staffel, 4x200m Freistil Staffel"
OBB,1998,Nagano (JAP),Traunstein,47867.0,12638.0,Bronze,Ski Alpin Sitzend,Super-G
OBB,1998.0,Nagano (JAP),Berchtesgarden,47630.0,13000.0,Silber,Rodel,Einzel
OBB,1998.0,Nagano (JAP),Berchtesgarden,47630.0,13000.0,Silber,Snowboard,Riesenslalom
OBB,1998.0,Nagano (JAP),Bad Tölz,47761.0,11565.0,Silber,Ski Alpin,Kombination
OBB,1998.0,Nagano (JAP),Lenggries,47682.0,11576.0,Gold,Ski Alpin,"Slalom, Kombination"
OBB,1998.0,Nagano (JAP),Berchtesgarden,47630.0,13000.0,Gold,Rodel,Einzel
OBB,1998.0,Nagano (JAP),Bad Reichenhall,47730.0,12881.0,Bronze,Eisschnelllauf,3000m
OBB,1998.0,Nagano (JAP),Bad Tölz,47761.0,11565.0,Bronze,Biathlon,"Einzel, Sprint, Staffel"
OBB,1998.0,Nagano (JAP),Traunstein,47867.0,12638.0,Gold,Biathlon,Staffel
OBB,1998.0,Nagano (JAP),Rosenheim,47857.0,12118.0,Silber,Freestyle Ski,Buckelpiste
OBB,1998.0,Nagano (JAP),Berchtesgarden,47630.0,13000.0,Gold,Bob,"4er-Bob, 2er-Bob"
OBB,2002.0,Salt Lake City (USA),Berchtesgarden,47630.0,13000.0,Gold,Bob,2er-Bob
OBB,2002,Salt Lake City (USA),Traunstein,47867.0,12638.0,Gold,Ski Alpin Sitzend,"Slalom, Riesenslalom, Abfahrt, Super-G"
OBB,2002.0,Salt Lake City (USA),Bad Tölz,47761.0,11565.0,Silber,Biathlon,"Sprint, Staffel"
OBB,2002.0,Salt Lake City (USA),Traunstein,47867.0,12638.0,Bronze,Ski Langlauf,Staffel
OBB,2002.0,Salt Lake City (USA),Traunstein,47867.0,12638.0,Gold,Ski Langlauf,"4x5km Staffel, Sprint"
OBB,2002.0,Salt Lake City (USA),Tegernsee,47713.0,11758.0,Silber,Ski Langlauf,"1,5km Sprint"
OBB,2002.0,Salt Lake City (USA),Berchtesgarden,47630.0,13000.0,Silber,Rodel,Einzel
OBB,2002.0,Salt Lake City (USA),Berchtesgarden,47630.0,13000.0,Gold,Rodel,Doppelsitzer
OBB,2002.0,Salt Lake City (USA),Berchtesgarden,47630.0,13000.0,Gold,Rodel,Doppelsitzer
OBB,2002.0,Salt Lake City (USA),Berchtesgarden,47630.0,13000.0,Silber,Rodel,Einzel
OBB,2002.0,Salt Lake City (USA),Bad Reichenhall,47730.0,12881.0,Gold,Eisschnelllauf,1500m
OBB,2002.0,Salt Lake City (USA),Bad Tölz,47761.0,11565.0,Bronze,Ski Alpin,Kombination
OBB,2004.0,Athen (GR),Starnberg,47999.0,11339.0,Bronze,Hockey,
OBB,2004.0,Athen (GR),München,48135.0,11581.0,Bronze,Hockey,
OBB,2004,Athen (GR),Tegernsee,47713.0,11758.0,Gold,Paracycling,"Einzelzeitfahren, Einerverfolgung"
OBB,2004.0,Athen (GR),München,48135.0,11581.0,Bronze,Fußball,
OBB,2006,Turin (IT),Traunstein,47867.0,12638.0,Gold,Ski Alpin Sitzend,"Super-G, Riesenslalom, Slalom"
OBB,2006.0,Turin (IT),Bad Aibling,47864.0,12009.0,Silber,Snowboard,Parallel-Riesenslalom
OBB,2006.0,Turin (IT),Traunstein,47867.0,12638.0,Silber,Ski Langlauf,4x5km Staffel
OBB,2006.0,Turin (IT),Bad Tölz,47761.0,11565.0,Bronze,Biathlon,Massenstart
OBB,2006.0,Turin (IT),Garmisch-Partenkirchen,47491.0,11095.0,Silber,Biathlon,"Einzel, Verfolgung, Staffel"
OBB,2006.0,Turin (IT),Bad Reichenhall,47730.0,12881.0,Gold,Eisschnelllauf,"Team, 1000m"
OBB,2006.0,Turin (IT),Traunstein,47867.0,12638.0,Silber,Ski Langlauf,"Staffel, 15km klassisch"
OBB,2008.0,Peking (CHN),München,48135.0,11581.0,Gold,Hockey,
OBB,2008.0,Peking (CHN),München,48135.0,11581.0,Gold,Hockey,
OBB,2008,Peking (CHN),Penzberg,47756.0,11369.0,Gold,Paracycling,"Einzelzeitfahren, Einerverfolgung, 1000m Zeitfahren"
OBB,2008,Peking (CHN),Tegernsee,47713.0,11758.0,Gold,Paracycling,"Einzelzeitfahren, Einerverfolgung"
OBB,2010,Vancouver (CAN),Traunstein,47867.0,12638.0,Gold,Ski Alpin Sitzend,"Riesenslalom, Slalom, Super-Kombination, Super-G"
OBB,2010.0,Vancouver (CAN),Traunstein,47867.0,12638.0,Gold,Ski Langlauf,"Teamsprint, 4x5km Staffel"
OBB,2010.0,Vancouver (CAN),Bad Reichenhall,47730.0,12881.0,Silber,Skispringen,Team
OBB,2010.0,Vancouver (CAN),Traunstein,47867.0,12638.0,Silber,Ski Langlauf,Skiathlon
OBB,2010.0,Vancouver (CAN),Garmisch-Partenkirchen,47491.0,11095.0,Gold,Biathlon,"Verfolgung, Massenstart, Sprint"
OBB,2010.0,Vancouver (CAN),Garmisch-Partenkirchen,47491.0,11095.0,Bronze,Biathlon,Staffel
OBB,2010.0,Vancouver (CAN),Bad Reichenhall,47730.0,12881.0,Gold,Eisschnelllauf,Team
OBB,2010.0,Vancouver (CAN),Berchtesgarden,47630.0,13000.0,Bronze,Rodel,Doppelsitzer
OBB,2010.0,Vancouver (CAN),Garmisch-Partenkirchen,47491.0,11095.0,Silber,Ski Langlauf,4x5km Staffel
OBB,2010.0,Vancouver (CAN),Berchtesgarden,47630.0,13000.0,Bronze,Rodel,Doppelsitzer
OBB,2010.0,Vancouver (CAN),Garmisch-Partenkirchen,47491.0,11095.0,Gold,Ski Alpin,"Super-Kombination, Slalom"
OBB,2010.0,Vancouver (CAN),Kreuth,47644.0,11743.0,Gold,Ski Alpin,Riesenslalom
OBB,2010.0,Vancouver (CAN),Berchtesgarden,47630.0,13000.0,Bronze,Skeleton,Einzel
OBB,2012.0,London (GB),München,48135.0,11581.0,Silber,Turnen,"Barren, Mehrkampf"
OBB,2012.0,London (GB),München,48135.0,11581.0,Gold,Hockey,
OBB,2012.0,London (GB),München,48135.0,11581.0,Gold,Hockey,
OBB,2012,London (GB),Tegernsee,47713.0,11758.0,Gold,Paracycling,Einzelzeitfahren
OBB,2012,London (GB),München,48135.0,11581.0,Gold,Leichtathletik,"Kugelstoßen, Speerwurf"
OBB,2014.0,Sotschi (RUS),Berchtesgarden,47630.0,13000.0,Silber,Snowboard,Parallelslalom
OBB,2014.0,Sotschi (RUS),Berchtesgarden,47630.0,13000.0,Gold,Rodel,"Doppelsitzer, Team"
OBB,2014.0,Sotschi (RUS),Oberaudorf,47641.0,12149.0,Gold,Skispringen,Team
OBB,2014.0,Sotschi (RUS),Traunstein,47867.0,12638.0,Gold,Skispringen,Team
OBB,2014.0,Sotschi (RUS),Kreuth,47644.0,11743.0,Bronze,Ski Alpin,Riesenslalom
OBB,2014.0,Sotschi (RUS),München,48135.0,11581.0,Gold,Rodel,"Einsitzer, Team"
OBB,2014.0,Sotschi (RUS),Garmisch-Partenkirchen,47491.0,11095.0,Gold,Ski Alpin,"Super-Kombination, Super-G"
OBB,2014.0,Sotschi (RUS),Bad Aibling,47864.0,12009.0,Bronze,Snowboard,Parallelslalom
OBB,2016,Rio de Janeiro (BRA),Tegernsee,47713.0,11758.0,Gold,Paracycling,Einzelzeitfahren
OBB,2016,Rio de Janeiro (BRA),München ,48135.0,11581.0,Gold,Leichtathletik,Kugelstoßen
OBB,2016,Rio de Janeiro (BRA),München,48135.0,11581.0,Silber,Rollstuhl-Basketball,Team
OBB,2016.0,Rio de Janeiro (BRA),Rosenheim,47857.0,12118.0,Silber,Fußball,
OBB,2016.0,Rio de Janeiro (BRA),Rosenheim,47857.0,12118.0,Silber,Fußball,
OBB,2016.0,Rio de Janeiro (BRA),Schongau,47815.0,10894.0,Silber,Sportschießen,Sportpistole Einzel
OBB,2018.0,Pyeongchang (Südkorea),Berchtesgarden,47630.0,13000.0,Gold,Rodel,"Doppelsitzer, Team"
OBB,2018.0,Pyeongchang (Südkorea),Garmisch-Partenkirchen,47491.0,11095.0,Gold,Biathlon,"Sprint, Verfolgung, Einzel"
OBB,2018.0,Pyeongchang (Südkorea),Bad Tölz,47761.0,11565.0,Silber,Eishockey,
OBB,2018.0,Pyeongchang (Südkorea),Bad Tölz,47761.0,11565.0,Silber,Eishockey,
OBB,2018.0,Pyeongchang (Südkorea),Erding,48311.0,11918.0,Silber,Eishockey,
OBB,2018,Pyeongchang (SKO),München,48135.0,11581.0,Bronze,Biathlon,"10km, 12,5 km"
OBB,2018.0,Pyeongchang (Südkorea),Bischofswiesen,47650.0,12964.0,Bronze,Snowboard,Parallel-Riesenslalom
OBB,2018.0,Pyeongchang (Südkorea),München,48135.0,11581.0,Gold,Rodel,"Einzel, Team"
OBB,2018.0,Pyeongchang (Südkorea),Traunstein,47867.0,12638.0,Gold,Skispringen,"Normalschanze, Großschanze, Team"
OBB,2021,Tokio (JAP),Tegernsee,47713.0,11758.0,Bronze,Paracycling,Einzelzeitfahren
OBB,2021.0,Tokio (JP),München,48135.0,11581.0,Silber,Segeln,(mit Susann Beucke)
OBB,2021.0,Tokio (JP),Ebersberg,48078.0,11966.0,Silber,Turnen,Barren
OBB,2021.0,Tokio (JP),München,48135.0,11581.0,Bronze,Judo,Mannschaft Mixed
OBB,2022.0,Peking (CHN),München,48135.0,11581.0,Gold,Rodeln,"Einzel, Team"
OBB,2022.0,Peking (CHN),Berchtesgaden,47630.0,13000.0,Silber,Rodeln,Einzel
OBB,2022.0,Peking (CHN),Berchtesgarden,47630.0,13000.0,Gold,Rodel,"Doppelsitzer, Team"
OBB,2022.0,Peking (CHN),München,48135.0,11581.0,Silber,Ski Alpin,Team
OBB,2022.0,Peking (CHN),Bad Aibling,47864.0,12009.0,Bronze,Skispringen,Team
